Sample_code	Sample_Name	Fastq_Name	Ploidy
P18758_101	BAM13198A_2x	P18758_101_S1_L001	2
P18758_102	BAM13184A_2x	P18758_102_S2_L001	2
P18758_103	BAM13180A_2x	P18758_103_S3_L001	2
P18758_104	BAM13192C_2x	P18758_104_S4_L001	2
P18758_105	BAM13189C_2x	P18758_105_S5_L001	2
P18758_106	BAM13187B_2x	P18758_106_S6_L001	2
P18758_107	BAM13199C_2x	P18758_107_S7_L001	2
P18758_108	BAM13202B_2x	P18758_108_S8_L001	2
P18758_109	BAM13183C_2x	P18758_109_S9_L001	2
P18758_110	BAM13194B_2x	P18758_110_S10_L001	2
P18758_111	CHM13291C_2x	P18758_111_S11_L001	2
P18758_112	CHM13285B_2x	P18758_112_S12_L001	2
P18758_113	CHM13292A_2x	P18758_113_S13_L001	2
P18758_114	CHM13289B_2x	P18758_114_S14_L001	2
P18758_115	CHM13288B_2x	P18758_115_S15_L001	2
P18758_116	CHM13294C_2x	P18758_116_S16_L001	2
P18758_117	CHM13295B_2x	P18758_117_S17_L001	2
P18758_118	CHM13293A_2x	P18758_118_S18_L001	2
P18758_119	CHM13284A_2x	P18758_119_S19_L001	2
P18758_120	CHM13283C_2x	P18758_120_S20_L001	2
P18758_121	SMR11726C_2x	P18758_121_S21_L001	2
P18758_122	SMR11725A_2x	P18758_122_S22_L001	2
P18758_123	SMR11736E_2x	P18758_123_S23_L001	2
P18758_124	SMR11514G_2x	P18758_124_S24_L001	2
P18758_125	SMR11524F_2x	P18758_125_S25_L001	2
P18758_126	SMR11510D_2x	P18758_126_S26_L001	2
P18758_127	SMR11509A_2x	P18758_127_S27_L001	2
P18758_128	SMR11511A_2x	P18758_128_S28_L001	2
P18758_129	SMR11520E_2x	P18758_129_S29_L001	2
P18758_130	SMR11518B_2x	P18758_130_S30_L001	2
P18758_131	MIN11483C_2x	P18758_131_S31_L001	2
P18758_132	MIN11484B_2x	P18758_132_S32_L001	2
P18758_133	MIN11479C_2x	P18758_133_S33_L002	2
P18758_134	MIN11478E_2x	P18758_134_S34_L002	2
P18758_135	MIN11461D_2x	P18758_135_S35_L002	2
P18758_136	MIN11466E_2x	P18758_136_S36_L002	2
P18758_137	MIN11465A_2x	P18758_137_S37_L002	2
P18758_138	MIN11474B_2x	P18758_138_S38_L002	2
P18758_139	MIN11475E_2x	P18758_139_S39_L002	2
P18758_140	MIN11491E_2x	P18758_140_S40_L002	2
P18758_141	HUG12595A_2x	P18758_141_S41_L002	2
P18758_142	HUG12592C_2x	P18758_142_S42_L002	2
P18758_143	HUG12605A_2x	P18758_143_S43_L002	2
P18758_144	HUG12591A_2x	P18758_144_S44_L002	2
P18758_145	HUG12596B_2x	P18758_145_S45_L002	2
P18758_146	HUG12603A_2x	P18758_146_S46_L002	2
P18758_147	HUG12611A_2x	P18758_147_S47_L002	2
P18758_148	HUG12599B_2x	P18758_148_S48_L002	2
P18758_149	HUG12598C_2x	P18758_149_S49_L002	2
P18758_150	HUG12597C_2x	P18758_150_S50_L002	2
P18758_151	ELL12355B_2x	P18758_151_S51_L002	2
P18758_152	ELL12352B_2x	P18758_152_S52_L002	2
P18758_153	ELL12351C_2x	P18758_153_S53_L002	2
P18758_154	ELL12347B_2x	P18758_154_S54_L002	2
P18758_155	ELL12357C_2x	P18758_155_S55_L002	2
P18758_156	ELL12349A_2x	P18758_156_S56_L002	2
P18758_157	ELL12362B_2x	P18758_157_S57_L002	2
P18758_158	ELL12344B_2x	P18758_158_S58_L002	2
P18758_159	ELL12353A_2x	P18758_159_S59_L002	2
P18758_160	ELL12358B_2x	P18758_160_S60_L002	2
P18758_161	MXN12715A_2x	P18758_161_S61_L002	2
P18758_162	MXN12707C_2x	P18758_162_S62_L002	2
P18758_163	MXN12708C_2x	P18758_163_S63_L002	2
P18758_164	MXN12711A_2x	P18758_164_S64_L002	2
P18758_165	MXN12716B_2x	P18758_165_S75_L004	2
P18758_166	MXN12722C_2x	P18758_166_S76_L004	2
P18758_167	MXN12719C_2x	P18758_167_S77_L004	2
P18758_169	KNG11544A_4x	P18758_169_S79_L004	4
P18758_170	MXN12714A_4x	P18758_170_S80_L004	4
P18758_171	MIN11453D_4x	P18758_171_S81_L004	4
P18758_172	MBL8857A_4x	P18758_172_S82_L004	4
P18758_173	BAT13308A_4x	P18758_173_S83_L004	4
P18758_174	WVR12731B_4x	P18758_174_S84_L004	4
P18758_175	NHL12853B_6x	P18758_175_S85_L004	6
P18758_176	SAM13220A_6x	P18758_176_S86_L004	6
P18758_177	BAT13299B_6x	P18758_177_S87_L004	6
P18758_178	HOP966A_6x	P18758_178_S88_L004	6
P18758_201	GLA1_2x	P18758_201_S89_L004	2
P18758_202	GLA2_2x	P18758_202_S90_L004	2
P18758_203	GLA5_2x	P18758_203_S91_L004	2
P18758_204	GLA6_2x	P18758_204_S92_L004	2